"filename", "language", "C++", "CMake", "Swift", "JSON", "XML", "Markdown", "Dart", "Gradle", "Java Properties", "YAML", "pip requirements", "Python", "Dotenv", "HTML", "comment", "blank", "total"
"c:\Projects\ai_interview_app\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Projects\ai_interview_app\ai_backend\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Projects\ai_interview_app\ai_backend\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 114, 69, 409
"c:\Projects\ai_interview_app\ai_backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Projects\ai_interview_app\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 22, 4, 29
"c:\Projects\ai_interview_app\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\Projects\ai_interview_app\android\app\google-services (1).json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Projects\ai_interview_app\android\app\google-services.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\Projects\ai_interview_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Projects\ai_interview_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Projects\ai_interview_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Projects\ai_interview_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Projects\ai_interview_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Projects\ai_interview_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Projects\ai_interview_app\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Projects\ai_interview_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Projects\ai_interview_app\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Projects\ai_interview_app\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Projects\ai_interview_app\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Projects\ai_interview_app\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Projects\ai_interview_app\firebase.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Projects\ai_interview_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Projects\ai_interview_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Projects\ai_interview_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Projects\ai_interview_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Projects\ai_interview_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Projects\ai_interview_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Projects\ai_interview_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Projects\ai_interview_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Projects\ai_interview_app\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 12, 7, 89
"c:\Projects\ai_interview_app\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Projects\ai_interview_app\lib\screens\about_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Projects\ai_interview_app\lib\screens\auth_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 4, 14, 162
"c:\Projects\ai_interview_app\lib\screens\dashboard_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 927, 0, 0, 0, 0, 0, 0, 0, 2, 58, 987
"c:\Projects\ai_interview_app\lib\screens\interview_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 1187, 0, 0, 0, 0, 0, 0, 0, 7, 133, 1327
"c:\Projects\ai_interview_app\lib\screens\interview_setup_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 421, 0, 0, 0, 0, 0, 0, 0, 0, 16, 437
"c:\Projects\ai_interview_app\lib\screens\landing_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 1454, 0, 0, 0, 0, 0, 0, 0, 5, 81, 1540
"c:\Projects\ai_interview_app\lib\screens\leaderboard_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 417, 0, 0, 0, 0, 0, 0, 0, 0, 27, 444
"c:\Projects\ai_interview_app\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 17, 188
"c:\Projects\ai_interview_app\lib\screens\onboarding_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 748, 0, 0, 0, 0, 0, 0, 0, 2, 49, 799
"c:\Projects\ai_interview_app\lib\services\ai_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 2, 25, 138
"c:\Projects\ai_interview_app\lib\services\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 22, 128
"c:\Projects\ai_interview_app\lib\services\face_monitor_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 4, 41, 328
"c:\Projects\ai_interview_app\lib\services\firestore_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 2, 13, 85
"c:\Projects\ai_interview_app\lib\theme\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Projects\ai_interview_app\lib\widgets\custom_drawer.dart", "Dart", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 3, 5, 85
"c:\Projects\ai_interview_app\linux\CMakeLists.txt", "CMake", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 146
"c:\Projects\ai_interview_app\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Projects\ai_interview_app\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Projects\ai_interview_app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Projects\ai_interview_app\linux\flutter\generated_plugins.cmake", "CMake", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Projects\ai_interview_app\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Projects\ai_interview_app\linux\my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Projects\ai_interview_app\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Projects\ai_interview_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 29
"c:\Projects\ai_interview_app\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Projects\ai_interview_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Projects\ai_interview_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Projects\ai_interview_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Projects\ai_interview_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Projects\ai_interview_app\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 8, 41
"c:\Projects\ai_interview_app\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Projects\ai_interview_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 6, 60
"c:\Projects\ai_interview_app\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Projects\ai_interview_app\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Projects\ai_interview_app\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Projects\ai_interview_app\windows\flutter\generated_plugin_registrant.cc", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"c:\Projects\ai_interview_app\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Projects\ai_interview_app\windows\flutter\generated_plugins.cmake", "CMake", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Projects\ai_interview_app\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Projects\ai_interview_app\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Projects\ai_interview_app\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Projects\ai_interview_app\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Projects\ai_interview_app\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Projects\ai_interview_app\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Projects\ai_interview_app\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Projects\ai_interview_app\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Projects\ai_interview_app\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 557, 460, 68, 326, 480, 13, 6266, 95, 8, 36, 6, 226, 1, 38, 381, 959, 9920